course_id,title,domain,topic,level,duration,language,provider,tags,redirect_url,data_source
IGOT-0001,Survey Design – Foundation Level,Statistical Competencies,Survey Design,Foundation,4 hrs,"English, Hindi",Indian Institute of Public Administration (IIPA),Statistical Competencies; Survey Design; Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=Survey%20Design,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0002,Survey Design – Intermediate Level,Statistical Competencies,Survey Design,Intermediate,6 hrs,"English, Hindi, Regional",Ministry of Statistics and Programme Implementation (MoSPI),Statistical Competencies; Survey Design; Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=Survey%20Design,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0003,Survey Design – Advanced Level,Statistical Competencies,Survey Design,Advanced,8 hrs,English,National Informatics Centre (NIC),Statistical Competencies; Survey Design; Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=Survey%20Design,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0004,Sampling Techniques – Foundation Level,Statistical Competencies,Sampling Techniques,Foundation,12 hrs,"English, Hindi",Capacity Building Commission (CBC),Statistical Competencies; Sampling Techniques; Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=Sampling%20Techniques,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0005,Sampling Techniques – Intermediate Level,Statistical Competencies,Sampling Techniques,Intermediate,20 hrs,"English, Hindi, Regional",iGOT Karmayogi Central Content Team,Statistical Competencies; Sampling Techniques; Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=Sampling%20Techniques,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0006,Sampling Techniques – Advanced Level,Statistical Competencies,Sampling Techniques,Advanced,2 hrs,English,National Statistical Systems Training Academy (NSSTA),Statistical Competencies; Sampling Techniques; Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=Sampling%20Techniques,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0007,National Accounts Statistics – Foundation Level,Statistical Competencies,National Accounts Statistics,Foundation,4 hrs,"English, Hindi",Indian Institute of Public Administration (IIPA),Statistical Competencies; National Accounts Statistics; Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=National%20Accounts%20Statistics,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0008,National Accounts Statistics – Intermediate Level,Statistical Competencies,National Accounts Statistics,Intermediate,6 hrs,"English, Hindi, Regional",Ministry of Statistics and Programme Implementation (MoSPI),Statistical Competencies; National Accounts Statistics; Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=National%20Accounts%20Statistics,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0009,National Accounts Statistics – Advanced Level,Statistical Competencies,National Accounts Statistics,Advanced,8 hrs,English,National Informatics Centre (NIC),Statistical Competencies; National Accounts Statistics; Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=National%20Accounts%20Statistics,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0010,Price Statistics & Index Numbers – Foundation Level,Statistical Competencies,Price Statistics & Index Numbers,Foundation,12 hrs,"English, Hindi",Capacity Building Commission (CBC),Statistical Competencies; Price Statistics & Index Numbers; Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=Price%20Statistics%20%26%20Index%20Numbers,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0011,Price Statistics & Index Numbers – Intermediate Level,Statistical Competencies,Price Statistics & Index Numbers,Intermediate,20 hrs,"English, Hindi, Regional",iGOT Karmayogi Central Content Team,Statistical Competencies; Price Statistics & Index Numbers; Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=Price%20Statistics%20%26%20Index%20Numbers,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0012,Price Statistics & Index Numbers – Advanced Level,Statistical Competencies,Price Statistics & Index Numbers,Advanced,2 hrs,English,National Statistical Systems Training Academy (NSSTA),Statistical Competencies; Price Statistics & Index Numbers; Advanced,https://igotkarmayogi.gov.in/#/explore?searchQuery=Price%20Statistics%20%26%20Index%20Numbers,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0013,Labour Statistics – Foundation Level,Statistical Competencies,Labour Statistics,Foundation,4 hrs,"English, Hindi",Indian Institute of Public Administration (IIPA),Statistical Competencies; Labour Statistics; Foundation,https://igotkarmayogi.gov.in/#/explore?searchQuery=Labour%20Statistics,SYNTHETIC_SAMPLE_FOR_DEMO
IGOT-0014,Labour Statistics – Intermediate Level,Statistical Competencies,Labour Statistics,Intermediate,6 hrs,"English, Hindi, Regional",Ministry of Statistics and Programme Implementation (MoSPI),Statistical Competencies; Labour Statistics; Intermediate,https://igotkarmayogi.gov.in/#/explore?searchQuery=Labour%20Statistics,SYNTHETIC_SAMPLE_FOR_DEMO
